School,ID,Ball State University,Indiana State University,University of Southern Indiana,IU-Bloomington,IU-East,IU-Kokomo,IU-Northwest,IU-Purdue University-Indianapolis,IU-South Bend,IU-Southeast,IU-Purdue University-Fort Wayne,PU-Calumet Campus,PU-North Central Campus,PU-Polytechnic Statewide,PU-West Lafayette,Ivy Tech Community College,Vincennes University,Year
21stCenturyCharterSchoolofGary,4164,2,4,0,1,0,0,0,7,0,0,0,1,0,0,0,3,3,2014
AcademyforInnovativeStudies,8270,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2014
AchieveVirtualEducationAcademy,5288,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
AdamsCentralHighSchool,0021,9,1,0,2,0,0,0,0,0,0,26,0,0,0,6,9,0,2014
AdamsHighSchool,7505,5,2,0,30,0,0,0,4,53,0,1,0,0,0,10,22,7,2014
AlexandriaMonroeHighSchool,5041,17,2,0,0,0,4,0,3,0,0,0,0,0,1,1,14,0,2014
AndersonChristianSchool,C250,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
AndersonHighSchool,4945,30,10,5,15,1,0,0,5,0,0,0,0,0,2,7,69,7,2014
AndersonPreparatoryAcademy,5092,1,4,0,3,0,0,0,2,0,0,1,0,0,1,2,17,3,2014
AndreanHighSchool,B760,6,4,1,23,0,0,7,6,0,0,0,14,1,0,19,5,0,2014
AngolaHighSchool,7893,4,3,0,6,0,0,0,1,1,0,20,0,0,0,6,13,2,2014
ArgosCommJrSrHighSchool,5937,4,1,1,2,0,0,0,0,3,0,1,0,0,0,4,12,5,2014
ArlingtonCommunityHighSchool,5465,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
ArsenalTechnicalHighSchool,5469,4,16,2,9,0,0,0,13,0,0,0,0,0,0,12,88,8,2014
AtticaHighSchool,2053,2,10,0,3,0,0,0,0,0,1,0,0,0,0,5,10,2,2014
AustinHighSchool,7629,0,0,3,1,0,0,0,0,0,12,0,0,0,0,0,13,5,2014
AvonHighSchool,2737,36,24,7,62,2,0,0,119,0,0,1,1,0,0,33,88,9,2014
BarrReeveMiddleHighSchool,1069,0,3,11,2,1,0,0,3,0,0,0,0,0,0,2,1,22,2014
BatesvilleHighSchool,7217,12,5,1,12,0,0,0,7,0,0,1,0,0,0,10,15,4,2014
BeaconAcademy,8411,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
BedfordNorthLawrenceHighSchool,4911,7,14,13,18,0,0,0,20,0,4,0,1,0,0,10,66,33,2014
BeechGroveSrHighSchool,5449,5,3,0,8,0,0,1,14,0,1,0,0,0,0,2,18,3,2014
BellmontSeniorHighSchool,0029,16,1,3,8,0,0,0,4,0,0,17,0,0,0,12,17,0,2014
BenDavisHighSchool,5213,16,40,2,43,1,0,1,81,0,0,0,0,0,0,10,100,35,2014
BenDavisUniversityHighSchool,5447,4,3,1,1,0,0,0,13,0,1,0,0,0,0,2,10,9,2014
BenjaminBosseHighSchool,8237,2,4,24,3,0,1,0,1,0,0,0,0,0,0,1,23,17,2014
BentonCentralJrSrHighSchool,0445,4,7,1,1,0,0,0,7,0,0,0,0,0,0,16,19,6,2014
BethanyChristianSch,B015,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
BethesdaChristianSchool,B290,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
BishopChatardHighSchool,C705,11,5,0,34,0,0,0,12,0,0,0,0,0,0,25,8,4,2014
BishopDwengerHighSchool,A120,11,0,0,31,0,0,0,6,0,0,40,0,0,0,27,19,2,2014
BishopLuersHighSchool,A125,10,6,0,5,0,0,0,3,0,0,19,0,0,0,8,7,0,2014
BishopNollInstitute,B970,1,3,0,10,0,0,3,2,0,0,0,24,0,0,8,2,0,2014
BlackfordHighSchool,0489,16,3,0,1,2,0,0,0,0,0,5,1,0,0,3,30,2,2014
BlackhawkChristianMdlHighSch,A170,0,0,0,2,0,0,0,1,0,0,12,0,0,0,2,5,1,2014
BloomfieldJrSrHighSchool,2419,1,6,13,0,0,0,0,2,0,0,0,0,0,0,0,11,10,2014
BloomingtonGraduationSchool,6220,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
BloomingtonHighSchoolNorth,6168,6,5,6,85,0,0,0,6,0,0,0,0,0,0,11,64,9,2014
