School,ID,Ball State University,Indiana State University,University of Southern Indiana,IU-Bloomington,IU-East,IU-Kokomo,IU-Northwest,IU-Purdue University-Indianapolis,IU-South Bend,IU-Southeast,IU-Purdue University-Fort Wayne,PU-Calumet Campus,PU-North Central Campus,PU-Polytechnic Statewide,PU-West Lafayette,Ivy Tech Community College,Vincennes University
21stCenturyCharterSchoolofGary,4164,0,7,0,0,0,0,2,0,0,0,1,1,0,0,0,3,0
AcademyforInnovativeStudies,8270,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4
AchieveVirtualEducationAcademy,5288,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
AdamsCentralHighSchool,0021,7,2,0,3,0,0,0,2,0,0,15,0,0,0,1,10,0
AdamsHighSchool,7505,9,8,1,47,0,0,0,9,46,1,1,0,0,1,13,31,1
AlexandriaMonroeHighSchool,5041,10,1,3,4,0,2,0,3,0,0,0,0,0,0,4,24,0
AndersonChristianSchool,C250,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
AndersonHighSchool,4945,12,9,1,11,0,0,0,7,0,1,3,1,0,2,11,55,8
AndersonPreparatoryAcademy,5092,2,6,1,0,0,0,0,4,0,0,1,0,0,0,4,8,1
AndreanHighSchool,B760,7,1,0,13,0,0,10,6,0,0,4,18,2,0,11,7,1
AngolaHighSchool,7893,5,3,0,7,0,0,0,2,4,0,20,1,0,0,12,18,1
ArgosCommJrSrHighSchool,5937,0,0,4,3,0,0,0,0,0,0,0,0,0,0,7,1,0
ArlingtonCommunityHighSchool,5465,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
ArsenalTechnicalHighSchool,5469,4,21,2,10,0,2,0,8,0,0,0,2,0,0,8,61,11
AtticaHighSchool,2053,1,8,2,1,0,0,0,0,0,0,0,0,0,0,8,13,3
AustinHighSchool,7629,0,4,1,1,0,0,0,7,0,12,0,0,0,0,0,13,2
AvonHighSchool,2737,22,31,19,49,2,0,0,115,0,0,0,0,0,0,50,84,17
BarrReeveMiddleHighSchool,1069,0,3,7,4,0,0,0,2,0,0,0,0,0,0,1,1,16
BatesvilleHighSchool,7217,7,1,4,13,1,0,0,14,0,0,0,0,0,0,15,22,1
BeaconAcademy,8411,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
