School,ID,Bachelors Degree,Associate Degree,Award between 1 and 2 years,Award less than 1 year,Unclassified Undergraduate,Year
21stCenturyCharterSchoolofGary,4164,14,7,0,0,0,2014
AcademyforInnovativeStudies,8270,2,13,0,0,0,2014
AchieveVirtualEducationAcademy,5288,***,***,***,***,***,2014
AdamsCentralHighSchool,0021,34,9,0,0,10,2014
AdamsHighSchool,7505,102,31,0,0,1,2014
AlexandriaMonroeHighSchool,5041,27,14,0,1,0,2014
AndersonChristianSchool,C250,***,***,***,***,***,2014
AndersonHighSchool,4945,74,76,0,0,1,2014
AndersonPreparatoryAcademy,5092,13,20,0,1,0,2014
AndreanHighSchool,B760,79,6,0,0,1,2014
AngolaHighSchool,7893,30,14,1,3,8,2014
ArgosCommJrSrHighSchool,5937,14,14,1,2,2,2014
ArlingtonCommunityHighSchool,5465,***,***,***,***,***,2014
ArsenalTechnicalHighSchool,5469,55,86,8,3,0,2014
AtticaHighSchool,2053,21,12,0,0,0,2014
AustinHighSchool,7629,16,18,0,0,0,2014
AvonHighSchool,2737,277,93,6,5,1,2014
BarrReeveMiddleHighSchool,1069,20,22,1,0,2,2014
BatesvilleHighSchool,7217,47,18,1,1,0,2014
BeaconAcademy,8411,***,***,***,***,***,2014
BedfordNorthLawrenceHighSchool,4911,81,102,0,0,3,2014
BeechGroveSrHighSchool,5449,34,19,1,1,0,2014
BellmontSeniorHighSchool,0029,50,15,1,1,11,2014
BenDavisHighSchool,5213,191,132,5,1,0,2014
BenDavisUniversityHighSchool,5447,25,18,1,0,0,2014
BenjaminBosseHighSchool,8237,33,40,1,0,2,2014
BentonCentralJrSrHighSchool,0445,36,24,1,0,0,2014
BethanyChristianSch,B015,***,***,***,***,***,2014
BethesdaChristianSchool,B290,***,***,***,***,***,2014
BishopChatardHighSchool,C705,87,12,0,0,0,2014
BishopDwengerHighSchool,A120,94,23,3,0,16,2014
BishopLuersHighSchool,A125,39,11,0,0,8,2014
BishopNollInstitute,B970,51,2,0,0,0,2014
BlackfordHighSchool,0489,29,31,2,0,1,2014
BlackhawkChristianMdlHighSch,A170,14,6,0,0,3,2014
BloomfieldJrSrHighSchool,2419,22,20,1,0,0,2014
BloomingtonGraduationSchool,6220,***,***,***,***,***,2014
BloomingtonHighSchoolNorth,6168,116,72,1,0,3,2014
BloomingtonHighSchoolSouth,6166,150,88,1,1,1,2014
BlueRiverValleyJrSrHighSchool,2801,9,8,0,1,0,2014
BlufftonHighSchool,9089,11,17,0,0,5,2014
BookerTWashingtonAltSch,8611,***,***,***,***,***,2014
BooneGroveHighSchool,6838,43,16,3,0,0,2014
BoonvilleHighSchool,8789,43,39,2,1,3,2014
BrebeufJesuitPreparatorySchool,C360,78,6,0,0,0,2014
BremenSeniorHighSchool,5941,31,16,1,0,6,2014
BroadRippleMagnetHighSchoolforPrfmArts,5477,46,19,0,0,0,2014
BrownCountyHighSchool,0573,39,33,2,0,4,2014
BrownsburgHighSchool,2709,233,85,4,0,0,2014
BrownstownCentralHighSchool,3126,55,11,1,0,0,2014
BurrisLaboratorySchool,1441,18,11,1,0,0,2014
CalumetChristianSchool,B815,***,***,***,***,***,2014
CalumetNewTechHighSchool,3869,16,19,0,2,0,2014
CalvaryChristianSchool,C580,***,***,***,***,***,2014
CanneltonElemHighSchool,6733,***,***,***,***,***,2014
CardinalRitterHighSchool,C715,68,10,0,0,1,2014
CareerAcademyHighSchool,7564,***,***,***,***,***,2014
CarmelHighSchool,2505,600,108,8,2,0,2014
CarrollHighSchool,0091,167,72,9,1,35,2014
CarrollSeniorHighSchool,0621,25,11,1,0,1,2014
CascadeSeniorHighSchool,2692,41,17,0,1,2,2014
CastleHighSchool,8809,155,48,5,1,25,2014
CastonJrSrHighSchool,2159,8,9,0,1,1,2014
CathedralHighSchool,C700,137,15,0,0,1,2014
CenterGroveHighSchool,3437,233,65,3,1,2,2014
CentervilleSrHighSchool,8981,45,17,1,0,1,2014
CentralCatholicJrSrHighSch,D415,35,2,0,0,0,2014
CentralChristianAcademy,C575,***,***,***,***,***,2014
CentralHighSchool,8241,79,55,4,1,11,2014
CentralNobleJuniorSeniorHS,6453,15,14,0,0,2,2014
CharlesATindleyAcceleratedSch,6208,14,0,0,0,0,2014
CharlestownSeniorHighSchool,0821,43,31,2,1,0,2014
ChestertonSeniorHighSchool,6925,215,42,7,1,0,2014
ChristelHouseAcademySouth,5874,***,***,***,***,***,2014
ChristelHouseDORSSouth,5532,***,***,***,***,***,2014
ChristianAcademyofIndiana,B045,15,3,0,0,0,2014
ChristianAcademyofMadison,B493,***,***,***,***,***,2014
ChurubuscoJrSrHighSchool,9193,15,14,0,0,1,2014
