School,ID,Bachelors Degree,Associate Degree,Award between 1 and 2 years,Award less than 1 year,Unclassified Undergraduate
21stCenturyCharterSchoolofGary,4164,10,2,1,0,1
AcademyforInnovativeStudies,8270,0,10,2,1,1
AchieveVirtualEducationAcademy,5288,***,***,***,***,***
AdamsCentralHighSchool,0021,27,9,1,0,3
AdamsHighSchool,7505,136,29,2,1,0
AlexandriaMonroeHighSchool,5041,26,23,1,0,1
AndersonChristianSchool,C250,***,***,***,***,***
AndersonHighSchool,4945,56,61,2,1,1
AndersonPreparatoryAcademy,5092,18,9,0,0,0
AndreanHighSchool,B760,69,8,0,0,3
AngolaHighSchool,7893,49,18,3,0,3
ArgosCommJrSrHighSchool,5937,14,1,0,0,0
ArlingtonCommunityHighSchool,5465,8,3,0,0,0
ArsenalTechnicalHighSchool,5469,57,67,3,2,0
AtticaHighSchool,2053,20,16,0,0,0
AustinHighSchool,7629,25,13,1,1,0
AvonHighSchool,2737,282,96,5,3,3
BarrReeveMiddleHighSchool,1069,18,16,0,0,0
BatesvilleHighSchool,7217,55,21,1,1,0
BeaconAcademy,8411,***,***,***,***,***
BedfordNorthLawrenceHighSchool,4911,93,75,0,0,2
BeechGroveSrHighSchool,5449,50,33,0,0,0
BellmontSeniorHighSchool,0029,51,18,0,1,14
BenDavisHighSchool,5213,246,117,5,2,0
BenDavisUniversityHighSchool,5447,57,7,0,0,0
BenjaminBosseHighSchool,8237,28,18,1,0,3
BentonCentralJrSrHighSchool,0445,38,23,0,0,0
BethanyChristianSch,B015,***,***,***,***,***
BethesdaChristianSchool,B290,7,3,1,0,0
BishopChatardHighSchool,C705,84,10,1,0,0
BishopDwengerHighSchool,A120,124,18,1,1,19
BishopLuersHighSchool,A125,52,11,1,2,8
BishopNollInstitute,B970,52,3,1,0,0
BlackfordHighSchool,0489,30,28,1,1,4
BlackhawkChristianMdlHighSch,A170,15,3,1,0,3
BloomfieldJrSrHighSchool,2419,14,20,1,0,0
BloomingtonGraduationSchool,6220,***,***,***,***,***
BloomingtonHighSchoolNorth,6168,121,77,5,0,2
BloomingtonHighSchoolSouth,6166,168,68,3,1,1
BlueRiverValleyJrSrHighSchool,2801,7,13,0,0,0
BlufftonHighSchool,9089,27,15,2,0,6
BookerTWashingtonAltSch,8611,***,***,***,***,***
BooneGroveHighSchool,6838,44,11,0,0,1
BoonvilleHighSchool,8789,46,42,1,1,10
BremenSeniorHighSchool,5941,52,8,1,0,3
BroadRippleMagnetHighSchoolforPrfmArts,5477,36,18,0,0,0
BrownCountyHighSchool,0573,36,16,0,0,0
BrownsburgHighSchool,2709,243,77,0,0,5
BrownstownCentralHighSchool,3126,46,17,0,0,0
BurrisLaboratorySchool,1441,26,8,0,0,0
CalumetChristianSchool,B815,***,***,***,***,***
CalumetNewTechHighSchool,3869,36,15,0,1,0
CalvaryChristianSchool,C580,***,***,***,***,***
CanneltonElemHighSchool,6733,***,***,***,***,***
CardinalRitterHighSchool,C715,48,8,0,0,0
CareerAcademyHighSchool,7564,***,***,***,***,***
CarmelHighSchool,2505,566,106,5,1,1
CarrollHighSchool,0091,195,59,3,0,38
CarrollSeniorHighSchool,0621,24,8,2,0,0
CascadeSeniorHighSchool,2692,27,12,0,0,0
CastleHighSchool,8809,171,39,4,0,25
CastonJrSrHighSchool,2159,26,10,0,0,0
CathedralHighSchool,C700,132,12,0,0,1
CenterGroveHighSchool,3437,226,80,3,1,0
CentervilleSrHighSchool,8981,41,17,0,0,0
CentralChristianAcademy,C575,***,***,***,***,***
CentralHighSchool,8241,59,40,4,0,11
CentralNobleJuniorSeniorHS,6453,21,15,0,0,11
CharlesATindleyAcceleratedSch,6208,11,2,0,0,0
CharlestownSeniorHighSchool,0821,42,39,1,0,0
ChestertonSeniorHighSchool,6925,177,51,3,1,1
ChristelHouseAcademySouth,5874,9,3,1,0,0
ChristelHouseDORSSouth,5532,***,***,***,***,***
ChristianAcademyofIndiana,B045,18,1,0,0,0
ChristianAcademyofMadison,B493,***,***,***,***,***
ChurubuscoJrSrHighSchool,9193,28,12,0,2,3
ClarksvilleSeniorHighSchool,0833,29,13,0,0,0
ClayCityJrSrHighSchool,0897,25,22,2,0,0
ClayHighSchool,7421,71,30,3,1,0
ClintonCentralJuniorSeniorHighSchool,0957,27,10,2,0,0
ClintonChristianSchool,A875,***,***,***,***,***
ClintonPrairieJrSrHighSchool,0977,13,12,1,0,0
CloverdaleHighSchool,7077,14,7,0,0,2
ColonialChristianSchool,C495,***,***,***,***,***
ColumbiaCityHighSchool,9187,44,29,4,0,18
ColumbusChristianSchoolInc,A450,***,***,***,***,***
ColumbusEastHighSchool,0399,121,43,2,4,5
ColumbusNorthHighSchool,0397,194,58,4,0,0
CommunityMontessori,1536,12,5,1,0,0
CommunityYouthServices,9056,***,***,***,***,***
ConcordCommunityHighSchool,1715,99,35,1,1,3
ConcordiaLutheranHighSchool,A195,54,18,1,1,13
ConnersvilleSrHighSchool,1889,69,49,2,1,0
CorydonCentralHighSchool,2640,52,17,1,1,1
CovenantChristianHighSchool,B469,10,1,1,0,0
CovenantChristianHighSchool,C527,28,6,0,0,0
CovingtonCommunityHighSchool,2005,19,8,1,0,0
CowanHighSchool,1386,13,24,1,0,0
CrawfordCountyJrSrHighSchool,1059,27,22,1,0,0
CrawfordsvilleSrHighSchool,6277,31,22,2,0,0
CrispusAttucksMedicalMagnetHighSchool,5473,40,17,0,0,0
CrothersvilleJrSrHighSchool,3121,***,***,***,***,***
CrownPointHighSchool,3901,304,46,3,1,0
CulverCommunityHighSchool,5245,13,11,0,0,0
DalevilleJrSrHighSchool,1401,15,12,0,0,0
DanvilleCommunityHighSchool,2741,70,20,0,0,0
DecaturCentralHighSchool,5177,83,68,0,0,0
DecaturTownshipSchoolforExcellence,5188,3,11,1,0,0
DeKalbHighSchool,1345,82,26,7,2,12
DelphiCommunityHighSchool,0637,36,16,1,0,0
DeltaHighSchool,1369,64,47,1,1,0
DonaldEGavitMiddleHighSchool,4413,53,20,3,0,1
EastCentralHighSchool,7213,62,51,0,0,0
EastChicagoCentralHighSchool,3924,34,32,3,3,1
EastNobleHighSchool,6458,51,22,3,1,7
EastbrookHighSchool,2293,27,20,1,0,0
EasternGreeneHighSchool,2435,30,28,0,0,2
EasternHancockHighSchool,2585,32,17,0,1,0
EasternHighSchool,8905,30,10,1,0,0
EasternHighSchool,2919,37,8,1,0,0
EastsideJuniorSeniorHighSchool,1317,25,12,2,0,3
EdgewoodHighSchool,6146,51,55,1,0,0
EdinburghCommunityHighSchool,3447,7,15,1,0,0
ElkhartCentralHighSchool,1749,92,34,1,0,3
ElkhartChristianAcademy,A990,11,2,0,0,0
ElkhartMemorialHighSchool,1750,83,34,1,4,2
ElwoodJrSrHighSchool,5149,23,14,0,0,0
EmanSchools,B160,***,***,***,***,***
EminenceJrSrHighSchool,6325,10,6,2,0,0
EmmerichManualHighSchool,5481,6,5,0,0,0
EvansvilleDaySchool,D525,***,***,***,***,***
ExcelCenterForAdultLearners,5669,4,39,1,1,0
FairfieldJrSrHighSchool,1613,34,6,1,0,3
FaithChristianSchool,D452,14,10,0,0,1
FallCreekAcademy,5870,***,***,***,***,***
FishersChristianAcademy,B161,***,***,***,***,***
FishersHighSchool,2487,273,66,4,1,0
FloydCentralHighSchool,1930,151,36,2,1,1
ForestParkJrSrHighSchool,1583,34,19,0,0,4
FountainCentralHighSchool,2022,25,14,3,0,0
FrancisJosephReitzHighSchool,8245,98,36,1,1,17
FrankfortSeniorHighSchool,0997,42,21,1,1,0
FranklinCentralHighSchool,5193,169,91,2,1,1
FranklinCommunityHighSchool,3445,95,60,2,0,1
FranklinCountyHighSchool,2083,34,27,1,1,0
FranktonJrSrHighSchool,5005,26,22,1,0,0
FremontHighSchool,7877,11,6,3,1,7
FrontierJrSrHighSchool,9137,16,10,2,0,0
GarrettHighSchool,1325,20,23,1,1,7
GaryLighthouseCharterSchool,4130,24,9,0,1,0
GaryMiddleCollege,4027,2,10,0,0,0
GatewayWoodsSchool,A352,***,***,***,***,***
GeorgeRogersClarkMiddleHighSchool,4411,72,20,1,0,0
GeorgeWashingtonCommunityHighSchool,5643,3,19,1,0,0
GibsonSouthernHighSchool,2211,68,18,1,0,5
GoshenHighSchool,1821,88,34,2,1,3
GrangerChristianSchool,D310,***,***,***,***,***
GreencastleSeniorHighSch,7089,29,29,1,0,1
GreenfieldCentralHighSchool,2595,90,44,3,1,0
GreensburgCommunityHighSchool,1268,27,19,2,0,0
GreenwoodChristianAcademy,C966,***,***,***,***,***
GreenwoodCommunityHighSchool,3473,68,16,4,1,0
GriffithSeniorHighSchool,4173,69,13,3,0,0
GuerinCatholicHighSchool,B249,101,3,0,0,0
HagerstownJrSrHighSchool,8985,29,12,1,0,0
HamiltonHeightsHighSchool,2477,57,26,2,0,0
HamiltonSoutheasternHighSchool,2499,370,84,1,1,0
HammondAcademyofScienceTechnology,4486,30,7,0,0,0
HammondHighSchool,4415,22,10,0,1,0
HanoverCentralHighSchool,3785,66,24,3,0,0
HauserJrSrHighSchool,0410,16,9,0,1,1
HebronHighSchool,6813,27,10,0,0,0
HenryvilleJrSrHighSchool,0765,22,7,0,0,3
HeritageChristianSchool,C275,47,2,1,0,0
HeritageHallChristianSchool,A746,***,***,***,***,***
HeritageHillsHighSchool,7759,47,11,0,1,4
HeritageJrSrHighSchool,0081,30,28,3,0,9
HerronHighSchool,5724,70,16,0,1,1
HighlandHighSchool,4281,123,26,5,0,1
HobartHighSchool,4305,90,34,2,0,0
HolyCrossSchool,D725,***,***,***,***,***
HomesteadSeniorHighSchool,0047,216,54,3,0,31
HoosierAcademyIndianapolis,2527,***,***,***,***,***
HoosierAcademyVirtualCharterSchool,5290,7,21,0,1,0
HopeAcademy,5292,***,***,***,***,***
HorizonChristianAcademy,A309,***,***,***,***,***
HorizonChristianSchool,C282,7,4,0,1,0
HoweSchool,B725,***,***,***,***,***
HuntingtonNorthHighSchool,3065,63,49,2,2,14
INAcademyforScienceMathHumanities,1443,79,0,0,0,0
IndianCreekSrHighSchool,3419,38,22,0,1,1
IndianaAcademy,B190,***,***,***,***,***
IndianaChristianAcademy,C175,***,***,***,***,***
IndianaConnectionsAcademy,7944,44,63,2,0,1
IndianaCyberCharterSchool,4421,,,,,
IndianaMathScienceAcademy,5837,,,,,
IndianaSchoolForTheBlind,C460,***,***,***,***,***
IndianaSchoolForTheDeaf,C695,***,***,***,***,***
IndianaVirtualSchool,2488,***,***,***,***,***
IndianapolisLighthouseCharterSchool,5523,17,2,0,0,1
IndianapolisMetropolitanHighSchool,5664,10,5,0,0,0
InternationalSchofINHS912,C677,18,1,0,0,0
IrvingtonCommunitySchool,1537,20,11,1,0,1
JacCenDelMSHS,7193,13,11,1,0,0
JamesEDavisSchool,A480,***,***,***,***,***
JasperHighSchool,1593,105,36,0,0,1
JayCountyHighSchool,3239,39,50,1,2,1
JeffersonHighSchool,8069,68,86,4,0,1
JeffersonvilleHighSchool,0849,142,43,2,0,0
JenningsCountyHighSchool,3345,88,35,1,0,1
JimtownHighSchool,1701,43,9,0,0,2
JohnGlennHighSchool,7453,53,12,1,0,0
JohnMarshallCommunityHighSchool,5494,7,8,0,0,0
JohnPaulIICatholicHighSch,D722,***,***,***,***,***
JointServiceCampusProgram,7467,,,,,
KankakeeValleyHighSchool,3181,68,42,4,0,2
KeyLearningCommunityHighSchool,5631,***,***,***,***,***
KingdomAcademyofBlufftonInc,D875,***,***,***,***,***
KnightstownHighSchool,2869,22,15,1,0,1
KnoxCommunityHighSchool,7833,27,14,0,0,1
KokomoHighSchool,3013,113,65,4,1,0
KoutsMiddleHighSchool,6833,18,10,0,0,0
LaCrosseSchool,4692,***,***,***,***,***
LakeCentralHighSchool,3833,393,48,9,2,6
LakelandChristianAcademy,B595,***,***,***,***,***
LakelandHighSchool,3730,27,10,0,1,4
