School,ID,Indiana_Public_College,Indiana_Private_College_np,Indiana_Private_College_fp,Out_of_State_Public_College,Out_of_State_Private_College_(non-profit),Out_of_State_Private_College_(for-profit),Non_degree_Granting_School,Did_Not_Enroll_in_College,Did Not Enroll in College,Non-degree Granting School,Out-of-State Private College (for-profit),Out-of-State Private College (non-profit),Out-of-State Public College
21stCenturyCharterSchoolofGary,4164,14,0,0,5,1,0,0,10,,,,,
AcademyforInnovativeStudies,8270,14,0,0,0,0,0,0,65,,,,,
AchieveVirtualEducationAcademy,5288,***,***,***,***,***,***,***,24,,,,,
AdamsCentralHighSchool,0021,40,15,0,1,7,0,0,30,,,,,
AdamsHighSchool,7505,168,24,5,10,26,0,0,115,,,,,
AlexandriaMonroeHighSchool,5041,51,8,2,1,0,1,0,36,,,,,
AndersonChristianSchool,C250,***,***,***,***,***,***,***,***,,,,,
AndersonHighSchool,4945,121,21,7,9,1,1,0,202,,,,,
AndersonPreparatoryAcademy,5092,27,7,0,0,0,0,0,25,,,,,
AndreanHighSchool,B760,80,20,0,13,19,0,0,14,,,,,
AngolaHighSchool,7893,73,22,2,4,3,0,0,64,,,,,
ArgosCommJrSrHighSchool,5937,15,9,1,1,0,0,0,9,,,,,
ArlingtonCommunityHighSchool,5465,11,1,1,1,0,0,0,5,,,,,
ArsenalTechnicalHighSchool,5469,129,6,3,7,5,2,0,180,,,,,
AtticaHighSchool,2053,36,3,1,3,1,0,0,23,,,,,
AustinHighSchool,7629,40,4,0,3,1,1,0,44,,,,,
AvonHighSchool,2737,389,56,1,32,28,1,0,177,,,,,
BarrReeveMiddleHighSchool,1069,34,4,0,3,1,0,0,13,,,,,
BatesvilleHighSchool,7217,78,18,0,14,3,0,0,57,,,,,
BeaconAcademy,8411,***,***,***,***,***,***,***,***,,,,,
BedfordNorthLawrenceHighSchool,4911,170,20,2,5,10,0,0,112,,,,,
BeechGroveSrHighSchool,5449,83,21,1,4,4,1,0,73,,,,,
BellmontSeniorHighSchool,0029,84,19,0,1,3,0,0,44,,,,,
BenDavisHighSchool,5213,370,48,12,22,14,1,1,346,,,,,
BenDavisUniversityHighSchool,5447,64,9,0,1,4,0,0,23,,,,,
BenjaminBosseHighSchool,8237,50,6,0,9,2,0,0,33,,,,,
BentonCentralJrSrHighSchool,0445,61,10,1,4,6,0,0,42,,,,,
BethanyChristianSch,B015,2,19,0,0,8,0,0,6,,,,,
BethesdaChristianSchool,B290,11,3,0,1,3,0,0,3,,,,,
BishopChatardHighSchool,C705,95,27,0,13,19,0,0,11,,,,,
BishopDwengerHighSchool,A120,163,36,0,15,11,1,0,28,,,,,
BishopLuersHighSchool,A125,74,25,0,3,6,0,0,18,,,,,
BishopNollInstitute,B970,56,14,0,29,14,0,0,13,,,,,
BlackfordHighSchool,0489,64,6,0,0,0,0,0,55,,,,,
BlackhawkChristianMdlHighSch,A170,22,23,0,2,13,0,0,7,,,,,
BloomfieldJrSrHighSchool,2419,35,2,0,2,3,0,0,14,,,,,
BloomingtonGraduationSchool,6220,***,***,***,***,***,***,***,14,,,,,
BloomingtonHighSchoolNorth,6168,205,8,1,18,25,1,0,78,,,,,
BloomingtonHighSchoolSouth,6166,241,25,0,22,21,0,0,82,,,,,
BlueRiverValleyJrSrHighSchool,2801,20,4,0,1,1,0,0,20,,,,,
BlufftonHighSchool,9089,50,10,0,5,3,0,0,52,,,,,
BookerTWashingtonAltSch,8611,***,***,***,***,***,***,***,11,,,,,
BooneGroveHighSchool,6838,56,15,0,3,6,0,0,34,,,,,
BoonvilleHighSchool,8789,100,10,1,15,1,0,0,71,,,,,
BremenSeniorHighSchool,5941,64,28,0,4,1,0,0,27,,,,,
BroadRippleMagnetHighSchoolforPrfmArts,5477,54,10,0,4,1,0,1,22,,,,,
BrownCountyHighSchool,0573,52,10,5,1,3,0,0,57,,,,,
BrownsburgHighSchool,2709,325,54,2,20,19,1,1,147,,,,,
BrownstownCentralHighSchool,3126,63,13,0,1,3,1,0,50,,,,,
BurrisLaboratorySchool,1441,34,7,0,1,3,0,0,4,,,,,
CalumetChristianSchool,B815,***,***,***,***,***,***,***,***,,,,,
CalumetNewTechHighSchool,3869,52,4,0,8,2,1,0,89,,,,,
CalvaryChristianSchool,C580,6,3,0,2,0,0,0,4,,,,,
CanneltonElemHighSchool,6733,***,***,***,***,***,***,***,***,,,,,
CardinalRitterHighSchool,C715,56,25,0,8,17,0,0,12,,,,,
CareerAcademyHighSchool,7564,8,1,0,0,1,0,0,20,,,,,
CarmelHighSchool,2505,679,85,3,119,105,0,0,150,,,,,
CarrollHighSchool,0091,295,52,1,22,22,0,0,112,,,,,
CarrollSeniorHighSchool,0621,34,8,1,2,3,0,0,30,,,,,
CascadeSeniorHighSchool,2692,39,16,0,3,2,0,0,48,,,,,
CastleHighSchool,8809,239,30,4,48,20,0,0,92,,,,,
CastonJrSrHighSchool,2159,36,5,2,1,0,0,0,28,,,,,
