School,ID,Diploma_Honors_EC,Diploma_Core40_EC,Diploma_General_EC,Waiver_Yes_EC,Waiver_No_EC,AP_Passed_EC,AP_NotPassed_EC,AP_NotTaken_EC,DualCredit_Yes_EC,DualCredit_No_EC,21Century_Yes_EC,21Century_No_EC,LunchFR_Yes_EC,LunchFR_No_EC,Race_White_EC,Race_Black_EC,Race_Hispanic_EC,Race_Asian_EC,Race_Other_EC,Yyear
21stCenturyCharterSchoolofGary,4164,--,23,--,--,23,--,***,***,16,7,9,14,***,***,--,23,--,--,--,2014
AcademyforInnovativeStudies,8270,--,6,11,3,14,--,--,17,1,16,***,***,13,4,10,5,***,--,***,2014
AchieveVirtualEducationAcademy,5288,***,7,***,***,***,--,--,10,***,***,***,***,--,10,***,***,--,--,--,2014
AdamsCentralHighSchool,0021,***,27,***,***,***,10,31,29,61,9,47,60,7,63,***,--,***,--,--,2014
AdamsHighSchool,7505,79,106,11,15,181,***,***,190,58,138,,157,75,121,109,51,15,7,14,2014
AlexandriaMonroeHighSchool,5041,36,21,0,***,***,7,33,17,36,21,33,44,14,43,56,--,***,--,***,2014
AndersonChristianSchool,C250,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
AndersonHighSchool,4945,76,94,18,16,172,13,51,124,101,87,87,126,107,81,123,44,7,***,***,2014
AndersonPreparatoryAcademy,5092,15,26,--,***,***,***,***,34,22,19,17,26,18,23,25,10,***,--,***,2014
AndreanHighSchool,B760,79,***,***,--,134,16,12,106,67,67,94,122,--,134,84,20,22,***,***,2014
AngolaHighSchool,7893,54,38,8,4,96,30,25,45,50,50,59,76,23,77,95,***,2,--,***,2014
ArgosCommJrSrHighSchool,5937,***,23,***,***,***,9,13,19,18,23,22,32,16,25,***,--,***,--,--,2014
ArlingtonCommunityHighSchool,5465,***,***,--,--,8,--,--,8,***,***,***,***,***,***,***,***,--,--,--,2014
ArsenalTechnicalHighSchool,5469,36,132,14,12,170,15,35,132,39,143,53,106,151,31,29,120,23,***,***,2014
AtticaHighSchool,2053,18,20,3,***,***,***,***,22,26,15,21,30,13,28,38,--,***,--,***,2014
AustinHighSchool,7629,19,18,4,4,37,--,***,***,29,12,16,29,21,20,40,--,***,--,***,2014
AvonHighSchool,2737,310,176,3,11,478,176,41,272,282,207,,458,85,404,383,39,27,23,17,2014
BarrReeveMiddleHighSchool,1069,27,15,5,***,***,***,***,40,17,30,23,40,***,***,47,--,--,--,--,2014
BatesvilleHighSchool,7217,66,33,2,***,***,***,***,91,93,8,73,92,7,94,99,--,***,***,***,2014
BeaconAcademy,8411,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
BedfordNorthLawrenceHighSchool,4911,112,72,38,1,221,11,49,162,78,144,,172,65,157,219,***,***,***,***,2014
BeechGroveSrHighSchool,5449,38,43,1,2,80,25,26,31,39,43,56,60,35,47,70,6,***,--,***,2014
BellmontSeniorHighSchool,0029,71,30,6,1,106,11,10,86,87,20,78,82,25,82,93,***,9,***,***,2014
BenDavisHighSchool,5213,206,214,22,34,408,61,115,266,285,157,,270,276,166,147,200,60,***,***,2014
BenDavisUniversityHighSchool,5447,30,37,--,***,***,--,--,67,***,***,35,31,41,26,23,22,13,***,***,2014
BenjaminBosseHighSchool,8237,27,66,11,11,93,***,***,90,60,44,42,73,61,43,49,42,***,--,***,2014
BentonCentralJrSrHighSchool,0445,39,37,4,***,***,9,29,42,61,19,45,59,20,60,74,***,***,***,--,2014
BethanyChristianSch,B015,13,8,--,--,21,14,***,***,***,***,18,***,***,***,17,--,***,***,***,2014
BethesdaChristianSchool,B290,***,7,***,***,***,***,***,8,--,14,7,14,--,14,***,--,***,--,--,2014
BishopChatardHighSchool,C705,103,***,***,***,***,49,41,55,101,44,,***,***,***,128,***,***,***,***,2014
BishopDwengerHighSchool,A120,124,***,***,***,***,80,21,105,124,82,,178,26,180,187,***,9,***,***,2014
BishopLuersHighSchool,A125,***,53,***,***,***,31,13,56,52,48,60,87,15,85,88,***,***,***,***,2014
BishopNollInstitute,B970,42,55,--,***,***,***,***,66,52,45,43,82,26,71,33,27,31,***,***,2014
BlackfordHighSchool,0489,39,31,7,***,***,--,18,59,55,22,39,52,24,53,***,,--,--,***,2014
BlackhawkChristianMdlHighSch,A170,***,25,***,***,***,***,***,32,***,***,29,***,***,***,45,,***,***,***,2014
BloomfieldJrSrHighSchool,2419,***,24,***,***,***,***,***,37,42,5,20,38,5,42,41,--,***,***,***,2014
BloomingtonGraduationSchool,6220,***,***,***,***,***,--,--,3,***,***,***,***,***,***,1,***,--,--,***,2014
BloomingtonHighSchoolNorth,6168,141,91,17,5,244,62,16,171,187,62,,220,39,210,201,***,13,***,19,2014
BloomingtonHighSchoolSouth,6166,204,83,20,12,295,80,41,186,203,104,,257,63,244,254,***,***,20,22,2014
BlueRiverValleyJrSrHighSchool,2801,***,8,***,***,***,--,***,***,14,7,12,***,***,***,***,--,***,--,--,2014
BlufftonHighSchool,9089,24,17,2,***,***,***,--,***,31,12,18,34,15,28,40,--,***,--,***,2014
BookerTWashingtonAltSch,8611,--,***,***,***,***,--,--,9,***,***,***,9,***,***,8,--,***,--,***,2014
BooneGroveHighSchool,6838,31,50,3,***,***,***,***,77,51,33,48,74,9,75,81,***,***,--,***,2014
BoonvilleHighSchool,8789,35,67,13,6,109,***,***,91,66,49,54,95,27,88,112,--,***,***,***,2014
BrebeufJesuitPreparatorySchool,C360,141,33,--,--,174,110,25,39,23,151,,***,--,174,143,16,***,***,***,2014
BremenSeniorHighSchool,5941,28,48,4,--,80,***,***,66,51,29,33,64,16,64,67,--,12,***,***,2014
BroadRippleMagnetHighSchoolforPrfmArts,5477,***,52,***,***,***,***,***,44,14,68,25,33,72,10,9,63,8,***,***,2014
BrownCountyHighSchool,0573,35,49,10,***,***,18,11,65,64,30,50,64,31,63,92,***,--,***,***,2014
BrownsburgHighSchool,2709,303,***,***,3,414,139,66,212,326,91,,375,52,365,363,23,15,***,***,2014
BrownstownCentralHighSchool,3126,47,29,4,***,***,11,18,51,74,6,60,60,13,67,76,--,***,--,***,2014
BurrisLaboratorySchool,1441,22,***,***,--,37,10,17,10,***,***,30,26,8,29,33,***,--,***,***,2014
CalumetChristianSchool,B815,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
CalumetNewTechHighSchool,3869,***,41,***,5,46,***,***,34,20,31,11,28,37,14,19,19,10,***,***,2014
CalvaryChristianSchool,C580,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
CanneltonElemHighSchool,6733,***,***,***,***,***,--,--,9,***,***,***,***,***,***,***,***,--,--,--,2014
CardinalRitterHighSchool,C715,60,***,***,***,***,31,28,48,62,45,59,90,28,79,62,21,13,***,***,2014
CareerAcademyHighSchool,7564,***,5,***,***,***,--,--,7,***,***,***,***,***,***,5,***,***,--,***,2014
CarmelHighSchool,2505,580,378,29,6,981,311,35,641,746,241,,951,77,910,787,34,24,106,36,2014
CarrollHighSchool,0091,187,143,21,***,***,111,25,215,221,130,,328,33,318,307,***,13,***,16,2014
CarrollSeniorHighSchool,0621,24,19,2,--,45,***,***,27,39,6,32,37,12,33,39,--,***,--,***,2014
CascadeSeniorHighSchool,2692,52,27,5,***,***,***,***,72,70,14,50,66,21,63,80,***,--,***,***,2014
CastleHighSchool,8809,165,158,15,14,324,44,34,260,204,134,,322,46,292,298,***,10,***,13,2014
CastonJrSrHighSchool,2159,9,9,4,2,20,***,***,19,16,6,***,17,8,14,22,--,***,--,***,2014
CathedralHighSchool,C700,133,139,--,--,272,117,63,92,33,239,,257,--,272,228,21,***,***,8,2014
CenterGroveHighSchool,3437,214,185,8,2,405,118,72,217,297,110,,380,31,376,379,***,11,11,***,2014
CentervilleSrHighSchool,8981,29,43,5,***,***,***,***,60,57,20,46,57,15,62,71,***,***,--,***,2014
CentralCatholicJrSrHighSch,D415,43,14,--,--,57,***,***,42,38,19,41,***,***,***,***,--,--,--,***,2014
CentralChristianAcademy,C575,***,***,--,--,6,***,6,***,--,6,***,6,***,***,4,***,***,--,--,2014
CentralHighSchool,8241,88,70,33,13,178,27,17,147,139,52,98,152,69,122,160,20,***,***,7,2014
CentralNobleJuniorSeniorHS,6453,14,23,1,4,34,***,***,20,26,12,19,22,6,32,36,--,***,--,***,2014
CharlesATindleyAcceleratedSch,6208,16,12,--,--,28,--,--,28,--,28,24,17,17,11,--,28,--,--,--,2014
CharlestownSeniorHighSchool,0821,42,49,4,***,***,11,24,60,67,28,29,79,32,63,87,***,5,--,***,2014
ChestertonSeniorHighSchool,6925,162,178,6,2,344,62,20,264,209,137,,315,45,301,306,***,27,***,***,2014
ChristelHouseAcademySouth,5874,***,***,--,--,15,--,--,15,11,4,***,***,***,***,***,***,6,--,***,2014
ChristelHouseDORSSouth,5532,--,1,--,***,***,--,--,1,***,***,***,1,***,***,1,--,***,--,***,2014
ChristianAcademyofIndiana,B045,***,15,***,***,***,***,***,19,19,12,21,31,--,31,26,***,***,***,***,2014
