School,ID,Diploma_Honors_EC,Diploma_Core40_EC,Diploma_General_EC,Waiver_Yes_EC,Waiver_No_EC,AP_Passed_EC,AP_NotPassed_EC,AP_NotTaken_EC,DualCredit_Yes_EC,DualCredit_No_EC,21Century_Yes_EC,21Century_No_EC,LunchFR_Yes_EC,LunchFR_No_EC,Race_White_EC,Race_Black_EC,Race_Hispanic_EC,Race_Asian_EC,Race_Other_EC
21stCenturyCharterSchoolofGary,4164,***,***,--,***,***,--,***,***,9,11,***,***,***,***,--,20,--,--,--
AcademyforInnovativeStudies,8270,--,4,10,4,10,--,--,14,***,***,***,***,8,6,9,5,***,--,***
AchieveVirtualEducationAcademy,5288,--,***,***,***,***,--,***,***,***,***,--,4,--,4,4,***,***,--,***
AdamsCentralHighSchool,0021,30,29,4,***,***,***,***,23,48,15,13,50,9,54,59,--,***,***,***
AdamsHighSchool,7505,129,97,7,10,223,20,21,192,115,118,60,173,98,135,133,50,25,8,17
AlexandriaMonroeHighSchool,5041,32,31,0,***,***,19,28,16,38,25,18,45,14,49,62,***,***,--,--
AndersonChristianSchool,C250,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
AndersonHighSchool,4945,68,68,24,19,141,16,37,107,95,65,56,104,94,66,95,49,10,--,6
AndersonPreparatoryAcademy,5092,23,11,--,***,***,--,11,23,27,7,11,23,15,19,16,11,***,***,***
AndreanHighSchool,B760,***,79,***,***,***,28,19,85,35,97,13,119,--,132,83,30,11,***,***
AngolaHighSchool,7893,58,41,5,7,97,33,22,49,50,54,21,83,23,81,93,***,6,***,***
ArgosCommJrSrHighSchool,5937,17,***,***,--,26,***,***,8,13,13,***,***,7,19,***,--,--,--,***
ArlingtonCommunityHighSchool,5465,--,***,***,***,***,--,***,***,--,14,***,***,14,--,***,***,--,--,--
ArsenalTechnicalHighSchool,5469,***,112,***,4,148,24,45,83,62,90,55,97,97,55,23,88,30,***,***
AtticaHighSchool,2053,***,24,***,***,***,***,***,18,29,15,9,35,13,31,41,--,***,***,***
AustinHighSchool,7629,21,24,4,***,***,--,--,49,42,7,13,36,24,25,47,--,***,--,***
AvonHighSchool,2737,338,163,6,13,494,229,78,200,344,163,51,456,99,408,360,58,33,28,28
BarrReeveMiddleHighSchool,1069,27,***,***,--,42,***,***,32,19,23,14,28,***,***,***,--,--,***,--
BatesvilleHighSchool,7217,74,36,3,***,***,18,31,64,107,6,10,103,13,100,108,--,***,***,***
BeaconAcademy,8411,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
BedfordNorthLawrenceHighSchool,4911,112,60,35,3,204,32,76,99,106,101,39,168,50,157,194,--,***,***,7
BeechGroveSrHighSchool,5449,45,63,6,3,111,14,46,54,69,45,27,87,41,73,93,***,***,***,8
BellmontSeniorHighSchool,0029,72,28,7,***,***,19,40,48,97,10,33,74,19,88,93,***,10,***,***
BenDavisHighSchool,5213,229,222,17,41,427,86,172,210,319,149,,252,306,162,146,213,76,***,***
BenDavisUniversityHighSchool,5447,47,31,--,***,***,--,--,78,***,***,49,29,55,23,23,34,10,***,***
BenjaminBosseHighSchool,8237,22,42,3,2,65,--,***,***,42,25,13,54,39,28,32,21,***,--,***
BentonCentralJrSrHighSchool,0445,37,40,5,***,***,14,34,34,57,25,18,64,28,54,76,***,3,--,***
BethanyChristianSch,B015,18,***,***,--,29,14,7,8,15,14,***,***,***,***,19,--,***,***,--
BethesdaChristianSchool,B290,10,8,--,--,18,***,***,***,***,***,--,18,--,18,18,--,--,--,--
BishopChatardHighSchool,C705,97,***,***,***,***,61,59,34,92,62,***,***,9,145,134,12,***,***,***
BishopDwengerHighSchool,A120,146,***,***,***,***,71,21,134,151,75,32,194,18,208,204,***,11,***,***
BishopLuersHighSchool,A125,48,54,6,***,***,25,20,63,63,45,10,98,20,88,87,10,***,***,***
BishopNollInstitute,B970,39,74,--,***,***,***,***,67,59,54,11,102,24,89,34,26,49,***,***
BlackfordHighSchool,0489,39,29,2,1,69,***,***,40,51,19,24,46,21,49,67,,***,--,***
BlackhawkChristianMdlHighSch,A170,31,29,--,--,60,15,15,30,***,***,***,***,--,60,58,,--,--,***
BloomfieldJrSrHighSchool,2419,***,21,***,--,42,--,***,***,35,7,10,32,14,28,39,--,***,--,***
BloomingtonGraduationSchool,6220,--,***,***,***,***,--,--,6,***,***,***,***,***,***,6,***,***,--,--
BloomingtonHighSchoolNorth,6168,113,122,23,7,251,86,45,127,165,93,55,203,56,202,204,11,15,13,15
BloomingtonHighSchoolSouth,6166,220,76,13,7,302,114,84,111,217,92,43,266,50,259,259,7,10,17,16
BlueRiverValleyJrSrHighSchool,2801,***,19,***,***,***,***,***,16,18,8,***,***,5,21,25,--,***,--,***
BlufftonHighSchool,9089,42,26,0,***,***,***,***,63,56,12,9,59,13,55,62,***,***,***,***
BookerTWashingtonAltSch,8611,--,***,***,***,***,***,***,5,***,***,***,***,***,***,4,--,***,--,***
BooneGroveHighSchool,6838,27,52,1,--,80,***,***,76,59,21,11,69,13,67,68,***,8,***,***
BoonvilleHighSchool,8789,44,72,11,0,127,17,32,78,83,44,26,101,41,86,126,--,***,--,***
BremenSeniorHighSchool,5941,49,44,4,***,***,10,18,69,76,21,23,74,23,74,81,***,11,***,***
BroadRippleMagnetHighSchoolforPrfmArts,5477,***,44,***,***,***,***,40,***,15,55,44,26,50,20,14,47,***,--,***
BrownCountyHighSchool,0573,30,34,7,***,***,25,9,37,48,23,27,44,29,42,67,--,***,***,***
BrownsburgHighSchool,2709,315,***,***,4,418,154,89,179,330,92,55,367,76,346,327,51,16,12,16
BrownstownCentralHighSchool,3126,46,33,2,***,***,11,19,51,80,1,22,59,20,61,79,--,***,--,***
BurrisLaboratorySchool,1441,28,***,***,--,45,20,17,8,27,18,13,32,***,***,37,***,***,***,***
CalumetChristianSchool,B815,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
CalumetNewTechHighSchool,3869,19,48,--,8,59,--,31,36,30,37,34,33,54,13,17,36,***,--,***
CalvaryChristianSchool,C580,***,***,--,--,11,***,***,***,--,11,--,11,***,***,9,--,***,--,***
CanneltonElemHighSchool,6733,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
CardinalRitterHighSchool,C715,62,44,--,***,***,35,26,45,71,35,10,96,19,87,72,13,10,***,***
CareerAcademyHighSchool,7564,***,***,--,***,***,***,--,***,4,6,***,***,***,***,8,***,***,--,***
