School,ID,Diploma_Honors,Diploma_Core40,Diploma_General,Waiver_Yes,Waiver_No,AP_Passed,AP_NotPassed,AP_NotTaken,DualCredit_Yes,DualCredit_No,21Century_Yes,21Century_No,LunchFR_Yes,LunchFR_No,Race_White,Race_Black,Race_Hispanic,Race_Asian,Race_Other,year,Year
21stCenturyCharterSchoolofGary,4164,0,33,0,0,33,0,6,27,22,11,,20,27,6,0,33,0,0,0,2014,2014
AcademyforInnovativeStudies,8270,0,11,58,24,45,0,0,69,13,56,3,66,46,23,44,17,2,0,6,2014,2014
AchieveVirtualEducationAcademy,5288,3,16,4,3,20,0,0,23,3,20,4,19,0,23,22,1,0,0,0,2014,2014
AdamsCentralHighSchool,0021,48,50,8,3,103,10,35,61,74,32,,89,15,91,104,0,2,0,0,2014,2014
AdamsHighSchool,7505,91,158,43,32,260,4,2,286,77,215,,243,130,162,149,83,25,11,24,2014,2014
AlexandriaMonroeHighSchool,5041,42,44,10,6,90,10,38,48,48,48,,80,33,63,91,0,3,0,2,2014,2014
AndersonChristianSchool,C250,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
AndersonHighSchool,4945,81,181,109,62,309,14,59,298,126,245,,288,232,139,240,75,29,5,22,2014,2014
AndersonPreparatoryAcademy,5092,16,41,0,3,54,1,7,49,24,33,,39,24,33,38,11,6,0,2,2014,2014
AndreanHighSchool,B760,83,59,1,0,143,19,14,110,67,76,,131,0,143,90,21,23,8,1,2014,2014
AngolaHighSchool,7893,64,87,44,21,174,36,29,130,76,119,,164,49,146,179,1,10,0,5,2014,2014
ArgosCommJrSrHighSchool,5937,18,33,7,1,57,10,15,33,25,33,,48,22,36,55,0,3,0,0,2014,2014
ArlingtonCommunityHighSchool,5465,2,20,0,0,22,0,0,22,1,21,5,20,20,2,2,20,0,0,0,2014,2014
ArsenalTechnicalHighSchool,5469,40,239,39,23,295,19,40,259,76,242,,226,264,54,53,192,56,2,15,2014,2014
AtticaHighSchool,2053,18,27,13,7,51,8,11,39,31,27,,46,25,33,54,0,2,0,2,2014,2014
AustinHighSchool,7629,27,38,14,12,67,0,3,76,48,31,,60,41,38,76,0,2,0,1,2014,2014
AvonHighSchool,2737,318,305,15,34,604,181,44,413,328,310,,604,118,520,493,60,38,26,21,2014,2014
BarrReeveMiddleHighSchool,1069,27,21,11,2,57,3,4,52,21,38,,49,7,52,59,0,0,0,0,2014,2014
BatesvilleHighSchool,7217,88,51,29,6,162,7,7,154,145,23,,156,18,150,163,0,2,1,2,2014,2014
BeaconAcademy,8411,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***,2014,2014
BedfordNorthLawrenceHighSchool,4911,117,97,108,11,311,11,53,258,99,223,,261,103,219,315,1,2,1,3,2014,2014
BeechGroveSrHighSchool,5449,39,100,25,17,147,28,30,106,66,98,,140,79,85,135,12,8,0,9,2014,2014
BellmontSeniorHighSchool,0029,80,50,43,13,160,11,11,151,120,53,,139,46,127,147,2,18,1,5,2014,2014
BenDavisHighSchool,5213,247,474,103,125,699,70,143,611,440,384,,606,529,295,314,325,128,8,49,2014,2014
BenDavisUniversityHighSchool,5447,37,70,0,7,100,0,0,107,103,4,,55,65,42,47,34,16,2,8,2014,2014
BenjaminBosseHighSchool,8237,30,106,20,21,135,2,13,141,81,75,,119,100,56,79,52,2,0,23,2014,2014
BentonCentralJrSrHighSchool,0445,43,60,21,2,122,11,32,81,88,36,,94,40,84,116,1,5,2,0,2014,2014
BethanyChristianSch,B015,17,18,0,0,35,19,2,14,1,34,,30,4,31,26,0,1,6,2,2014,2014
BethesdaChristianSchool,B290,10,11,1,1,21,3,7,12,0,22,,22,0,22,21,0,1,0,0,2014,2014
BishopChatardHighSchool,C705,107,45,3,4,151,52,44,59,106,49,,151,9,146,138,9,1,3,4,2014,2014
BishopDwengerHighSchool,A120,134,99,4,2,235,86,22,129,135,102,,207,31,206,215,2,12,3,5,2014,2014
BishopLuersHighSchool,A125,48,64,1,2,111,32,14,67,60,53,,100,21,92,95,6,6,2,4,2014,2014
BishopNollInstitute,B970,43,65,0,2,106,8,24,76,54,54,,93,27,81,37,29,35,2,5,2014,2014
BlackfordHighSchool,0489,43,46,34,7,116,0,20,103,70,53,,94,45,78,119,,0,0,4,2014,2014
BlackhawkChristianMdlHighSch,A170,28,36,3,2,65,7,13,47,5,62,,59,3,64,60,,3,3,1,2014,2014
BloomfieldJrSrHighSchool,2419,24,38,3,1,64,2,9,54,53,12,,55,13,52,59,0,2,1,3,2014,2014
BloomingtonGraduationSchool,6220,1,3,9,3,10,0,0,13,8,5,1,6,10,3,10,2,0,0,1,2014,2014
BloomingtonHighSchoolNorth,6168,145,121,55,13,308,66,16,239,223,98,,283,76,245,260,8,16,11,26,2014,2014
BloomingtonHighSchoolSouth,6166,227,116,55,29,369,86,45,267,237,161,,332,84,314,324,10,8,22,34,2014,2014
BlueRiverValleyJrSrHighSchool,2801,12,24,2,3,35,0,7,31,21,17,,32,8,30,37,0,1,0,0,2014,2014
BlufftonHighSchool,9089,25,51,16,6,86,1,0,91,46,46,,78,40,52,82,0,9,0,1,2014,2014
BookerTWashingtonAltSch,8611,0,7,10,4,13,0,0,17,5,12,1,17,14,3,14,0,1,0,2,2014,2014
BooneGroveHighSchool,6838,31,74,22,6,121,2,7,118,62,65,,116,19,108,118,1,7,0,1,2014,2014
BoonvilleHighSchool,8789,36,91,57,21,163,5,22,157,83,101,,161,60,124,177,0,1,1,5,2014,2014
BrebeufJesuitPreparatorySchool,C360,149,35,0,0,184,115,26,43,24,160,,178,0,184,152,16,4,3,9,2014,2014
BremenSeniorHighSchool,5941,31,69,15,0,115,6,8,101,62,53,,98,26,89,97,0,15,1,2,2014,2014
