School,ID,Diploma_Honors,Diploma_Core40,Diploma_General,Waiver_Yes,Waiver_No,AP_Passed,AP_NotPassed,AP_NotTaken,DualCredit_Yes,DualCredit_No,21Century_Yes,21Century_No,LunchFR_Yes,LunchFR_No,Race_White,Race_Black,Race_Hispanic,Race_Asian,Race_Other
21stCenturyCharterSchoolofGary,4164,4,26,0,2,28,0,8,22,13,17,8,22,29,1,0,30,0,0,0
AcademyforInnovativeStudies,8270,0,17,62,27,52,0,0,79,9,70,6,73,53,26,47,26,2,0,4
AchieveVirtualEducationAcademy,5288,0,21,7,1,27,0,1,27,7,21,0,28,0,28,25,1,1,0,1
AdamsCentralHighSchool,0021,30,47,16,5,88,9,34,50,57,36,,79,15,78,89,0,2,1,1
AdamsHighSchool,7505,152,157,39,42,306,25,27,296,146,202,,275,167,181,183,82,46,10,27
AlexandriaMonroeHighSchool,5041,34,54,11,1,98,19,36,44,47,52,,77,33,66,95,2,2,0,0
AndersonChristianSchool,C250,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
AndersonHighSchool,4945,81,145,136,82,280,19,47,296,136,226,,287,238,124,226,97,23,0,16
AndersonPreparatoryAcademy,5092,28,31,0,3,56,0,11,48,35,24,,45,23,36,35,15,3,3,3
AndreanHighSchool,B760,54,90,2,2,144,29,19,98,37,109,,133,0,146,91,34,12,4,5
AngolaHighSchool,7893,62,73,33,26,142,34,26,108,68,100,,141,45,123,150,1,10,1,6
ArgosCommJrSrHighSchool,5937,17,14,4,0,35,7,11,17,15,20,5,30,12,23,33,0,0,0,2
ArlingtonCommunityHighSchool,5465,0,16,3,2,17,0,1,18,0,19,4,15,19,0,1,18,0,0,0
ArsenalTechnicalHighSchool,5469,43,283,6,25,307,32,59,241,120,212,,267,212,120,47,181,85,3,16
AtticaHighSchool,2053,20,38,9,3,64,9,19,39,41,26,,57,23,44,63,0,2,1,1
AustinHighSchool,7629,25,53,15,4,89,0,0,93,68,25,,73,56,37,89,0,3,0,1
AvonHighSchool,2737,359,301,24,38,646,246,87,351,410,274,,622,154,530,488,82,46,31,37
BarrReeveMiddleHighSchool,1069,31,15,9,0,55,5,6,44,23,32,,39,7,48,54,0,0,1,0
BatesvilleHighSchool,7217,89,64,17,4,166,23,36,111,155,15,,155,25,145,162,0,3,3,2
BeaconAcademy,8411,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
BedfordNorthLawrenceHighSchool,4911,118,100,101,11,308,36,80,203,157,162,,270,94,225,292,0,6,2,19
BeechGroveSrHighSchool,5449,47,107,33,12,175,15,53,119,97,90,,154,72,115,157,8,9,2,11
BellmontSeniorHighSchool,0029,75,48,28,7,144,19,43,89,114,37,,115,37,114,128,3,18,1,1
BenDavisHighSchool,5213,251,472,91,124,690,98,218,498,479,335,,547,563,251,290,307,159,7,51
BenDavisUniversityHighSchool,5447,53,48,0,3,98,0,0,101,99,2,,42,72,29,32,38,18,2,11
BenjaminBosseHighSchool,8237,24,63,13,11,89,0,4,96,52,48,,84,62,38,48,33,3,0,16
BentonCentralJrSrHighSchool,0445,39,63,22,7,117,14,39,71,75,49,,103,46,78,110,2,10,0,2
BethanyChristianSch,B015,21,12,2,0,35,15,10,10,17,18,7,28,4,31,24,0,4,7,0
BethesdaChristianSchool,B290,10,11,0,0,21,3,9,9,2,19,0,21,0,21,21,0,0,0,0
BishopChatardHighSchool,C705,99,59,7,2,163,63,62,40,95,70,8,157,11,154,145,12,2,1,5
BishopDwengerHighSchool,A120,157,96,1,3,251,79,23,152,167,87,,219,21,233,228,2,12,5,7
BishopLuersHighSchool,A125,49,66,11,6,120,25,21,80,66,60,,115,25,101,100,12,6,1,7
BishopNollInstitute,B970,39,87,0,5,121,9,38,79,60,66,,115,27,99,36,26,57,1,6
BlackfordHighSchool,0489,45,52,28,13,112,7,28,90,79,46,,96,40,85,121,,1,0,3
BlackhawkChristianMdlHighSch,A170,32,35,0,0,67,16,15,36,8,59,8,59,0,67,62,,0,0,3
BloomfieldJrSrHighSchool,2419,22,31,3,0,56,0,4,52,43,13,,45,16,40,52,0,2,0,2
BloomingtonGraduationSchool,6220,0,8,12,7,13,0,0,20,4,16,7,13,13,7,18,1,1,0,0
BloomingtonHighSchoolNorth,6168,116,154,66,14,322,90,48,198,204,132,,272,88,248,268,15,17,13,23
BloomingtonHighSchoolSouth,6166,236,104,51,28,363,126,90,175,254,137,,347,75,316,327,11,11,20,22
BlueRiverValleyJrSrHighSchool,2801,7,35,4,5,41,2,9,35,22,24,6,40,13,33,39,0,5,0,2
BlufftonHighSchool,9089,45,60,15,9,111,4,3,113,75,45,,109,39,81,109,1,8,1,1
BookerTWashingtonAltSch,8611,0,6,11,2,15,1,2,14,4,13,8,9,15,2,13,0,1,0,3
BooneGroveHighSchool,6838,28,69,17,0,114,1,3,110,66,48,,103,26,88,96,1,13,1,3
BoonvilleHighSchool,8789,45,104,49,13,185,18,38,142,100,98,,169,67,131,191,0,5,0,2
BremenSeniorHighSchool,5941,50,61,13,1,123,10,20,94,87,37,,96,30,94,102,1,15,1,5
BroadRippleMagnetHighSchoolforPrfmArts,5477,27,62,3,2,90,9,49,34,16,76,,41,66,26,18,60,6,0,8
BrownCountyHighSchool,0573,33,52,43,2,126,27,10,91,68,60,,94,51,77,123,0,1,1,3
BrownsburgHighSchool,2709,348,219,2,14,555,168,97,304,401,168,,497,122,447,436,71,25,14,23
BrownstownCentralHighSchool,3126,48,55,28,3,128,11,19,101,118,13,,97,46,85,129,0,1,0,1
BurrisLaboratorySchool,1441,30,18,1,0,49,21,17,11,28,21,,36,5,44,41,2,2,2,2
CalumetChristianSchool,B815,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
CalumetNewTechHighSchool,3869,20,136,0,37,119,0,45,111,65,91,,112,136,20,54,59,36,0,7
CalvaryChristianSchool,C580,11,4,0,0,15,6,8,1,0,15,0,15,4,11,12,0,1,0,2
CanneltonElemHighSchool,6733,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
CardinalRitterHighSchool,C715,67,51,0,1,117,36,27,55,77,41,,107,21,97,80,15,10,5,8
CareerAcademyHighSchool,7564,3,27,0,1,29,1,0,29,13,17,4,26,22,8,16,7,6,0,1
CarmelHighSchool,2505,646,433,62,17,"1,124",540,141,460,820,321,,"1,103",106,"1,035",911,38,25,116,51
CarrollHighSchool,0091,209,244,51,2,502,182,46,276,303,201,,467,78,426,436,16,18,12,22
CarrollSeniorHighSchool,0621,24,39,15,2,76,7,19,52,60,18,,67,21,57,74,0,1,0,3
CascadeSeniorHighSchool,2692,47,52,9,1,107,17,14,77,85,23,,93,23,85,105,0,0,1,2
CastleHighSchool,8809,160,217,56,27,406,91,42,300,228,205,,399,70,363,383,8,9,14,19
CastonJrSrHighSchool,2159,18,37,17,3,69,4,10,58,55,17,,59,24,48,70,0,1,0,1
CathedralHighSchool,C700,176,120,0,0,296,142,75,79,83,213,,282,0,296,244,27,8,7,10
CenterGroveHighSchool,3437,228,273,56,19,538,165,85,307,383,174,,535,60,497,517,3,15,10,12
CentervilleSrHighSchool,8981,33,44,18,6,89,14,7,74,61,34,,68,25,70,91,0,0,2,2
CentralChristianAcademy,C575,2,7,2,2,9,2,4,5,2,9,0,11,2,9,10,0,0,0,1
CentralHighSchool,8241,67,103,49,14,205,23,51,145,130,89,,179,96,123,175,17,8,2,17
CentralNobleJuniorSeniorHS,6453,23,44,31,19,79,8,24,66,54,44,,83,29,69,94,0,1,2,1
CharlesATindleyAcceleratedSch,6208,15,11,0,0,26,0,0,26,0,26,9,17,26,0,0,26,0,0,0
CharlestownSeniorHighSchool,0821,50,90,37,10,167,12,28,137,103,74,,141,68,109,154,2,14,0,7
ChestertonSeniorHighSchool,6925,163,241,34,25,413,92,24,322,264,174,,413,79,359,368,11,43,5,11
ChristelHouseAcademySouth,5874,14,12,0,0,26,0,0,26,9,17,,14,22,4,11,4,8,0,3
ChristelHouseDORSSouth,5532,0,20,1,1,20,0,0,21,0,21,1,20,12,9,6,4,10,0,1
ChristianAcademyofIndiana,B045,26,23,4,0,53,26,17,10,33,20,1,52,0,53,47,0,2,3,1
ChristianAcademyofMadison,B493,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
ChurubuscoJrSrHighSchool,9193,26,57,5,2,86,5,9,74,44,44,,77,19,69,84,0,1,0,3
ClarksvilleSeniorHighSchool,0833,25,52,2,5,74,4,13,62,53,26,,53,41,38,61,7,4,0,7
ClayCityJrSrHighSchool,0897,27,34,6,2,65,5,15,47,52,15,,44,16,51,65,0,1,0,1
ClayHighSchool,7421,45,144,46,21,214,12,44,179,127,108,,211,137,98,120,71,16,7,21
ClintonCentralJuniorSeniorHighSchool,0957,22,50,14,7,79,5,19,62,38,48,,74,25,61,85,0,1,0,0
ClintonChristianSchool,A875,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
ClintonPrairieJrSrHighSchool,0977,13,22,17,0,52,11,6,35,28,24,4,48,4,48,50,0,1,0,1
CloverdaleHighSchool,7077,21,44,11,2,74,8,15,53,55,21,,52,33,43,72,1,0,0,3
ColonialChristianSchool,C495,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
ColumbiaCityHighSchool,9187,82,112,30,13,211,21,40,163,139,85,,176,56,168,207,2,8,1,6
ColumbusChristianSchoolInc,A450,7,8,1,0,16,0,0,16,9,7,1,15,0,16,16,0,0,0,0
ColumbusEastHighSchool,0399,141,166,13,39,281,71,42,207,252,68,,281,82,238,281,8,11,3,17
ColumbusNorthHighSchool,0397,252,219,16,36,451,154,58,275,467,20,,409,105,382,406,7,28,17,29
CommunityMontessori,1536,4,25,2,9,22,0,0,31,15,16,1,30,5,26,28,1,0,0,2
CommunityYouthServices,9056,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
ConcordCommunityHighSchool,1715,132,178,41,32,319,66,110,175,87,264,,228,145,206,215,29,72,3,32
ConcordiaLutheranHighSchool,A195,76,84,1,1,160,57,24,80,64,97,,149,0,161,141,9,2,3,6
ConnersvilleSrHighSchool,1889,68,122,46,9,227,5,8,223,161,75,,143,109,127,221,3,1,2,9
CorydonCentralHighSchool,2640,44,96,17,8,149,24,33,100,107,50,,127,49,108,149,1,1,0,6
CovenantChristianHighSchool,B469,11,14,0,0,25,0,0,25,11,14,2,23,0,25,24,0,1,0,0
CovenantChristianHighSchool,C527,45,28,7,3,77,43,9,28,33,47,2,78,7,73,70,3,0,4,3
CovingtonCommunityHighSchool,2005,20,41,6,5,62,2,8,57,52,15,,54,21,46,64,0,0,1,2
CowanHighSchool,1386,10,42,6,4,54,3,8,47,30,28,7,51,10,48,57,0,1,0,0
CrawfordCountyJrSrHighSchool,1059,23,76,12,4,107,16,36,59,65,46,,86,54,57,107,0,2,0,2
CrawfordsvilleSrHighSchool,6277,43,58,40,20,121,23,22,96,99,42,,114,65,76,118,1,13,1,8
CrispusAttucksMedicalMagnetHighSchool,5473,49,41,0,3,87,5,67,18,40,50,,38,69,21,2,58,20,0,10
CrothersvilleJrSrHighSchool,3121,8,13,0,0,21,0,0,21,20,1,,11,7,14,21,0,0,0,0
CrownPointHighSchool,3901,244,341,23,28,580,192,83,333,470,138,,575,86,522,494,9,71,16,18
CulverCommunityHighSchool,5245,12,36,9,1,56,2,13,42,34,23,,43,30,27,47,2,3,0,5
DalevilleJrSrHighSchool,1401,17,28,2,0,47,0,13,34,28,19,8,39,12,35,45,1,0,1,0
DanvilleCommunityHighSchool,2741,84,70,36,2,188,15,22,153,166,24,,174,36,154,174,1,4,3,8
DecaturCentralHighSchool,5177,91,192,32,16,299,64,67,184,184,131,,268,151,164,239,37,22,4,13
DecaturTownshipSchoolforExcellence,5188,2,16,76,22,72,1,3,90,11,83,7,87,58,36,75,13,3,1,2
DeKalbHighSchool,1345,81,171,48,18,282,72,36,192,171,129,,261,78,222,287,1,7,3,2
DelphiCommunityHighSchool,0637,38,58,10,14,92,2,27,77,67,39,,80,49,57,97,0,9,0,0
DeltaHighSchool,1369,67,60,57,9,175,1,0,183,141,43,,148,59,125,178,1,2,1,2
DonaldEGavitMiddleHighSchool,4413,37,124,8,13,156,28,67,74,47,122,,124,127,42,28,57,76,2,6
EastCentralHighSchool,7213,133,116,34,10,273,42,75,166,198,85,,260,35,248,280,1,0,0,2
EastChicagoCentralHighSchool,3924,22,116,22,14,146,12,32,116,78,82,,128,135,25,3,61,95,0,1
EastNobleHighSchool,6458,72,134,39,34,211,39,46,160,132,113,,208,64,181,222,2,15,0,6
EastbrookHighSchool,2293,48,67,16,10,121,23,17,91,84,47,,112,27,104,125,1,0,1,4
EasternGreeneHighSchool,2435,22,49,15,4,82,18,19,49,72,14,,57,25,61,83,0,2,0,1
EasternHancockHighSchool,2585,35,40,20,3,92,13,13,69,56,39,,74,19,76,94,0,1,0,0
EasternHighSchool,8905,28,46,20,9,85,8,18,68,61,33,,78,37,57,87,1,2,2,2
EasternHighSchool,2919,40,46,18,2,102,21,34,49,60,44,,83,16,88,97,2,4,1,0
EastsideJuniorSeniorHighSchool,1317,41,45,58,22,122,0,1,143,78,66,,126,62,82,122,6,8,2,6
EdgewoodHighSchool,6146,66,91,26,8,175,18,31,134,121,62,,143,42,141,171,2,4,1,5
EdinburghCommunityHighSchool,3447,9,38,11,1,57,2,13,43,36,22,,46,26,32,54,0,3,0,1
ElkhartCentralHighSchool,1749,93,173,65,34,297,81,70,180,175,156,,275,178,153,173,39,95,3,21
ElkhartChristianAcademy,A990,17,20,1,0,38,11,7,20,3,35,3,35,0,38,32,1,1,0,4
ElkhartMemorialHighSchool,1750,74,242,48,29,335,39,100,225,187,177,,306,190,174,199,38,78,7,42
ElwoodJrSrHighSchool,5149,21,32,26,10,69,7,23,49,49,30,,68,38,41,76,0,2,0,1
EmanSchools,B160,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
EminenceJrSrHighSchool,6325,7,18,11,2,34,1,12,23,18,18,,25,9,27,36,0,0,0,0
EmmerichManualHighSchool,5481,10,58,8,8,68,2,14,60,6,70,,57,22,54,50,13,12,0,1
EvansvilleDaySchool,D525,23,2,1,1,25,18,4,4,9,17,0,26,0,26,23,1,0,2,0
ExcelCenterForAdultLearners,5669,0,248,24,22,250,2,2,268,71,201,7,265,218,54,61,164,33,6,8
FairfieldJrSrHighSchool,1613,58,42,20,7,113,42,18,60,70,50,,89,19,101,112,1,5,1,1
FaithChristianSchool,D452,15,23,1,1,38,15,11,13,17,22,3,36,0,39,30,1,2,5,1
FallCreekAcademy,5870,1,15,3,3,16,0,0,19,12,7,2,17,19,0,3,15,0,0,1
FishersChristianAcademy,B161,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
FishersHighSchool,2487,295,239,29,12,551,233,118,212,215,348,,536,79,484,445,46,26,22,24
FloydCentralHighSchool,1930,170,147,69,29,357,194,54,138,293,93,,366,45,341,362,6,5,3,10
ForestParkJrSrHighSchool,1583,51,29,12,4,88,5,29,58,59,33,,74,15,77,91,0,1,0,0
FountainCentralHighSchool,2022,22,52,13,10,77,2,18,67,61,26,,66,36,51,83,0,3,0,1
FrancisJosephReitzHighSchool,8245,110,138,31,26,253,14,52,213,205,74,,242,87,192,249,16,5,1,8
FrankfortSeniorHighSchool,0997,42,104,27,25,148,12,44,117,97,76,,132,103,70,105,1,62,1,4
FranklinCentralHighSchool,5193,189,312,29,26,504,172,116,242,188,342,,463,166,364,427,30,38,17,18
FranklinCommunityHighSchool,3445,115,166,88,28,341,59,90,220,204,165,,325,113,256,336,5,17,4,7
FranklinCountyHighSchool,2083,67,92,34,16,177,8,34,151,109,84,,160,61,132,189,0,1,0,3
FranktonJrSrHighSchool,5005,30,56,24,5,105,9,20,81,39,71,8,102,35,75,104,0,1,0,5
FremontHighSchool,7877,30,40,17,5,82,5,6,76,52,35,,77,26,61,82,0,2,0,3
FrontierJrSrHighSchool,9137,13,33,10,6,50,3,6,47,45,11,,39,16,40,54,0,1,0,1
GarrettHighSchool,1325,30,68,36,8,126,14,25,95,80,54,,107,51,83,123,1,3,0,7
GaryLighthouseCharterSchool,4130,12,86,0,18,80,1,4,93,47,51,,78,83,15,1,92,3,0,2
GaryMiddleCollege,4027,0,68,1,5,64,0,0,69,4,65,1,68,45,24,2,60,5,0,2
GatewayWoodsSchool,A352,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
GeorgeRogersClarkMiddleHighSchool,4411,51,140,7,18,180,24,59,115,87,111,,156,169,29,25,19,151,1,2
GeorgeWashingtonCommunityHighSchool,5643,2,59,3,19,45,8,10,46,12,52,,51,50,14,13,15,34,0,2
GibsonSouthernHighSchool,2211,56,76,18,6,144,6,1,143,87,63,,131,20,130,146,0,2,1,1
GoshenHighSchool,1821,121,209,67,23,374,34,15,348,194,203,,330,194,203,207,5,172,4,9
GrangerChristianSchool,D310,9,0,4,0,13,2,1,10,1,12,0,13,0,13,12,0,0,0,1
GreencastleSeniorHighSch,7089,43,63,23,11,118,21,38,70,83,46,,108,48,81,118,1,5,1,4
GreenfieldCentralHighSchool,2595,133,147,41,15,306,57,71,193,144,177,,296,71,250,306,1,4,2,8
GreensburgCommunityHighSchool,1268,44,49,46,20,119,26,19,94,92,47,,106,49,90,135,0,2,1,1
GreenwoodChristianAcademy,C966,18,8,1,0,27,9,11,7,16,11,2,25,0,27,24,0,2,1,0
GreenwoodCommunityHighSchool,3473,88,103,45,4,232,1,1,234,160,76,,217,67,169,209,5,9,5,8
GriffithSeniorHighSchool,4173,44,87,48,17,162,21,27,131,82,97,,157,83,96,101,31,39,4,4
GuerinCatholicHighSchool,B249,149,40,0,0,189,2,0,187,0,189,4,185,0,189,173,2,7,3,4
HagerstownJrSrHighSchool,8985,24,43,8,9,66,3,21,51,50,25,,56,32,43,71,1,1,0,2
HamiltonHeightsHighSchool,2477,63,83,13,5,154,26,21,112,95,64,,148,32,127,155,0,2,1,1
HamiltonSoutheasternHighSchool,2499,362,296,53,15,696,299,174,238,255,456,,685,61,650,565,55,31,34,26
HammondAcademyofScienceTechnology,4486,21,44,0,3,62,0,1,64,38,27,,55,29,36,8,13,39,1,4
HammondHighSchool,4415,10,93,13,16,100,8,38,70,27,89,,100,99,17,3,59,50,0,4
HanoverCentralHighSchool,3785,57,91,9,4,153,18,42,97,103,54,9,148,27,130,130,2,17,1,7
HauserJrSrHighSchool,0410,24,16,16,5,51,0,0,56,50,6,,44,9,47,53,0,1,1,1
HebronHighSchool,6813,21,46,9,1,75,11,13,52,34,42,3,73,20,56,62,1,12,0,1
HenryvilleJrSrHighSchool,0765,38,39,8,8,77,7,17,61,61,24,,62,27,58,83,1,1,0,0
HeritageChristianSchool,C275,65,45,4,1,113,0,0,114,0,114,0,114,0,114,107,1,1,3,2
HeritageHallChristianSchool,A746,6,7,0,0,13,0,0,13,11,2,2,11,0,13,13,0,0,0,0
HeritageHillsHighSchool,7759,48,68,20,2,134,17,12,107,99,37,,114,27,109,125,0,10,0,1
HeritageJrSrHighSchool,0081,48,83,18,22,127,6,15,128,59,90,,130,65,84,107,15,3,20,4
HerronHighSchool,5724,97,62,1,1,159,76,50,34,67,93,,139,49,111,109,35,7,2,7
HighlandHighSchool,4281,86,143,46,9,266,51,44,180,146,129,,259,70,205,180,12,71,4,8
HobartHighSchool,4305,71,137,55,38,225,29,73,161,157,106,,221,93,170,173,15,65,5,5
HolyCrossSchool,D725,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
HomesteadSeniorHighSchool,0047,261,201,88,13,537,204,75,271,358,192,,513,51,499,457,24,24,28,17
HoosierAcademyIndianapolis,2527,1,6,5,5,7,1,1,10,0,12,0,12,0,12,10,1,0,0,1
HoosierAcademyVirtualCharterSchool,5290,4,90,8,19,83,8,2,92,3,99,3,99,9,93,82,6,5,2,7
HopeAcademy,5292,0,11,3,0,14,0,1,13,0,14,0,14,2,12,12,0,1,0,1
HorizonChristianAcademy,A309,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
HorizonChristianSchool,C282,11,20,1,4,28,1,0,31,13,19,2,30,0,32,25,2,2,0,3
HoweSchool,B725,0,15,0,4,11,0,1,14,0,15,0,15,0,15,6,2,1,3,3
HuntingtonNorthHighSchool,3065,98,179,85,14,348,64,53,245,206,156,,314,124,238,343,0,7,1,11
INAcademyforScienceMathHumanities,1443,139,0,0,0,139,84,17,38,129,10,,110,23,116,102,9,7,14,7
IndianCreekSrHighSchool,3419,33,86,24,13,130,10,12,121,90,53,,126,31,112,138,0,2,3,0
IndianaAcademy,B190,0,0,20,19,1,0,0,20,0,20,0,20,0,20,14,2,3,1,0
IndianaChristianAcademy,C175,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
IndianaConnectionsAcademy,7944,28,331,0,35,324,8,12,339,38,321,,330,109,250,290,19,20,6,24
IndianaCyberCharterSchool,4421,,,,,,,,,,,,,,,,,,,
IndianaMathScienceAcademy,5837,,,,,,,,,,,,,,,,,,,
IndianaSchoolForTheBlind,C460,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
IndianaSchoolForTheDeaf,C695,4,12,5,10,11,1,2,18,2,19,0,21,21,0,17,2,2,0,0
IndianaVirtualSchool,2488,2,30,0,5,27,3,3,26,6,26,1,31,5,27,29,1,0,0,2
IndianapolisLighthouseCharterSchool,5523,17,25,3,3,42,1,12,32,25,20,,29,34,11,14,24,3,0,4
IndianapolisMetropolitanHighSchool,5664,2,43,5,5,45,0,4,46,12,38,,35,43,7,9,37,2,0,2
InternationalSchofINHS912,C677,47,0,0,1,46,7,0,40,0,47,2,45,0,47,25,2,7,11,2
IrvingtonCommunitySchool,1537,25,38,1,3,61,12,19,33,33,31,8,56,32,32,48,10,4,0,2
JacCenDelMSHS,7193,16,32,7,1,54,3,25,27,39,16,,36,17,38,55,0,0,0,0
JamesEDavisSchool,A480,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
JasperHighSchool,1593,125,94,13,4,228,82,42,108,122,110,,197,35,197,212,1,15,3,1
JayCountyHighSchool,3239,76,94,63,25,208,7,21,205,145,88,,183,87,146,229,0,1,1,2
JeffersonHighSchool,8069,90,181,73,44,300,35,32,277,213,131,,269,180,164,213,39,71,4,17
JeffersonvilleHighSchool,0849,142,245,88,62,413,103,105,267,277,198,,400,211,264,313,80,37,2,43
JenningsCountyHighSchool,3345,83,102,107,46,246,22,26,244,261,31,,206,130,162,267,3,13,0,9
JimtownHighSchool,1701,57,61,14,9,123,6,56,70,84,48,,112,34,98,108,2,13,1,8
JohnGlennHighSchool,7453,49,90,7,2,144,32,31,83,77,69,,111,43,103,131,1,7,1,6
JohnMarshallCommunityHighSchool,5494,3,45,22,16,54,3,13,54,13,57,,60,51,19,3,57,9,0,1
JohnPaulIICatholicHighSch,D722,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
